value,method,pooling_level,time_unit,resistance_threshold,dpval,sampling_intensity,time_in_days,true_value,delay_in_days,method_name
42,gisp,monthly,month,0.11,10,25,1290,0.0,1290.0,Culture
11,naats,monthly,month,0.11,10,0.05,360,0.0,360.0,NAAT remnants
9,naats,monthly,month,0.11,10,0.1,300,0.0,300.0,NAAT remnants
5,naats,monthly,month,0.11,10,0.2,180,0.0,180.0,NAAT remnants
3,naats,monthly,month,0.11,10,0.4,120,0.0,120.0,NAAT remnants
2,naats,monthly,month,0.11,10,0.8,90,0.0,90.0,NAAT remnants
81,gisp,monthly,month,0.11,10,5,2460,0.0,2460.0,Culture
74,gisp,monthly,month,0.11,10,10,2250,0.0,2250.0,Culture
56,gisp,monthly,month,0.11,10,20,1710,0.0,1710.0,Culture
39,gisp,monthly,month,0.11,10,40,1200,0.0,1200.0,Culture
25,gisp,monthly,month,0.11,10,80,780,0.0,780.0,Culture
54,gisp,monthly,month,0.12,10,25,1650,94.0,1556.0,Culture
18,naats,monthly,month,0.12,10,0.05,570,94.0,476.0,NAAT remnants
13,naats,monthly,month,0.12,10,0.1,420,94.0,326.0,NAAT remnants
11,naats,monthly,month,0.12,10,0.2,360,94.0,266.0,NAAT remnants
8,naats,monthly,month,0.12,10,0.4,270,94.0,176.0,NAAT remnants
7,naats,monthly,month,0.12,10,0.8,240,94.0,146.0,NAAT remnants
81,gisp,monthly,month,0.12,10,5,2460,94.0,2366.0,Culture
74,gisp,monthly,month,0.12,10,10,2250,94.0,2156.0,Culture
56,gisp,monthly,month,0.12,10,20,1710,94.0,1616.0,Culture
39,gisp,monthly,month,0.12,10,40,1200,94.0,1106.0,Culture
31,gisp,monthly,month,0.12,10,80,960,94.0,866.0,Culture
54,gisp,monthly,month,0.13,10,25,1650,232.0,1418.0,Culture
23,naats,monthly,month,0.13,10,0.05,720,232.0,488.0,NAAT remnants
18,naats,monthly,month,0.13,10,0.1,570,232.0,338.0,NAAT remnants
15,naats,monthly,month,0.13,10,0.2,480,232.0,248.0,NAAT remnants
13,naats,monthly,month,0.13,10,0.4,420,232.0,188.0,NAAT remnants
12,naats,monthly,month,0.13,10,0.8,390,232.0,158.0,NAAT remnants
81,gisp,monthly,month,0.13,10,5,2460,232.0,2228.0,Culture
74,gisp,monthly,month,0.13,10,10,2250,232.0,2018.0,Culture
56,gisp,monthly,month,0.13,10,20,1710,232.0,1478.0,Culture
46,gisp,monthly,month,0.13,10,40,1410,232.0,1178.0,Culture
35,gisp,monthly,month,0.13,10,80,1080,232.0,848.0,Culture
54,gisp,monthly,month,0.14,10,25,1650,359.0,1291.0,Culture
25,naats,monthly,month,0.14,10,0.05,780,359.0,421.0,NAAT remnants
22,naats,monthly,month,0.14,10,0.1,690,359.0,331.0,NAAT remnants
19,naats,monthly,month,0.14,10,0.2,600,359.0,241.0,NAAT remnants
18,naats,monthly,month,0.14,10,0.4,570,359.0,211.0,NAAT remnants
16,naats,monthly,month,0.14,10,0.8,510,359.0,151.0,NAAT remnants
81,gisp,monthly,month,0.14,10,5,2460,359.0,2101.0,Culture
74,gisp,monthly,month,0.14,10,10,2250,359.0,1891.0,Culture
56,gisp,monthly,month,0.14,10,20,1710,359.0,1351.0,Culture
46,gisp,monthly,month,0.14,10,40,1410,359.0,1051.0,Culture
39,gisp,monthly,month,0.14,10,80,1200,359.0,841.0,Culture
54,gisp,monthly,month,0.15,10,25,1650,478.0,1172.0,Culture
30,naats,monthly,month,0.15,10,0.05,930,478.0,452.0,NAAT remnants
26,naats,monthly,month,0.15,10,0.1,810,478.0,332.0,NAAT remnants
24,naats,monthly,month,0.15,10,0.2,750,478.0,272.0,NAAT remnants
21,naats,monthly,month,0.15,10,0.4,660,478.0,182.0,NAAT remnants
20,naats,monthly,month,0.15,10,0.8,630,478.0,152.0,NAAT remnants
81,gisp,monthly,month,0.15,10,5,2460,478.0,1982.0,Culture
74,gisp,monthly,month,0.15,10,10,2250,478.0,1772.0,Culture
56,gisp,monthly,month,0.15,10,20,1710,478.0,1232.0,Culture
46,gisp,monthly,month,0.15,10,40,1410,478.0,932.0,Culture
39,gisp,monthly,month,0.15,10,80,1200,478.0,722.0,Culture
54,gisp,monthly,month,0.16,10,25,1650,590.0,1060.0,Culture
33,naats,monthly,month,0.16,10,0.05,1020,590.0,430.0,NAAT remnants
29,naats,monthly,month,0.16,10,0.1,900,590.0,310.0,NAAT remnants
26,naats,monthly,month,0.16,10,0.2,810,590.0,220.0,NAAT remnants
25,naats,monthly,month,0.16,10,0.4,780,590.0,190.0,NAAT remnants
23,naats,monthly,month,0.16,10,0.8,720,590.0,130.0,NAAT remnants
81,gisp,monthly,month,0.16,10,5,2460,590.0,1870.0,Culture
74,gisp,monthly,month,0.16,10,10,2250,590.0,1660.0,Culture
67,gisp,monthly,month,0.16,10,20,2040,590.0,1450.0,Culture
54,gisp,monthly,month,0.16,10,40,1650,590.0,1060.0,Culture
44,gisp,monthly,month,0.16,10,80,1350,590.0,760.0,Culture
66,gisp,monthly,month,0.17,10,25,2010,697.0,1313.0,Culture
36,naats,monthly,month,0.17,10,0.05,1110,697.0,413.0,NAAT remnants
33,naats,monthly,month,0.17,10,0.1,1020,697.0,323.0,NAAT remnants
30,naats,monthly,month,0.17,10,0.2,930,697.0,233.0,NAAT remnants
28,naats,monthly,month,0.17,10,0.4,870,697.0,173.0,NAAT remnants
27,naats,monthly,month,0.17,10,0.8,840,697.0,143.0,NAAT remnants
81,gisp,monthly,month,0.17,10,5,2460,697.0,1763.0,Culture
74,gisp,monthly,month,0.17,10,10,2250,697.0,1553.0,Culture
67,gisp,monthly,month,0.17,10,20,2040,697.0,1343.0,Culture
54,gisp,monthly,month,0.17,10,40,1650,697.0,953.0,Culture
46,gisp,monthly,month,0.17,10,80,1410,697.0,713.0,Culture
66,gisp,monthly,month,0.18,10,25,2010,798.0,1212.0,Culture
40,naats,monthly,month,0.18,10,0.05,1230,798.0,432.0,NAAT remnants
36,naats,monthly,month,0.18,10,0.1,1110,798.0,312.0,NAAT remnants
33,naats,monthly,month,0.18,10,0.2,1020,798.0,222.0,NAAT remnants
31,naats,monthly,month,0.18,10,0.4,960,798.0,162.0,NAAT remnants
